Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
2,"Aguero, Sergio","Silva, David",3,0,1,Complete,1st,43,6,343.7746771,-0.9,2.3,2.5,,,52.4,50.1,49.1,50
4,"Silva, David",N,4,0,2,Complete,1st,43,2.4,137.5098708,27.4,-19.2,27.5,,,29,48.2,76.5,49.1
6,"Kolarov, Aleksandar",Incomplete pass,7,0,19,Incomplete,1st,43,6.1,349.504255,-6.6,21.5,23.2,,,49.3,27.8,93.4,100
8,"Muamba, Fabrice",N,5,0,23,Complete,1st,30,0.5,28.64788976,10.1,12.7,15,,,63.6,50.9,30.1,20
10,"Lescott, Joleon","Toure, Gnegneri Yaya",9,0,30,Complete,1st,43,4.8,275.0197417,-17.4,0.9,11.9,,,30.2,29.3,55.6,73
12,"Toure, Gnegneri Yaya","Silva, David",10,0,32,Complete,1st,43,5.4,309.3972094,-18.7,10.4,16.8,,,42.3,31.9,34.9,53.6
14,"Silva, David","Richards, Micah",11,0,33,Complete,1st,43,5.1,292.2084755,-26.5,7.5,19.7,,,51.8,44.3,5.3,31.8
16,"Richards, Micah",N,12,0,36,Complete,1st,43,0.2,11.4591559,12.3,45.9,48.9,,,98,52.1,17.6,5.3
18,"Milner, James",Incomplete pass,15,1,6,Incomplete,1st,43,1.8,103.1324031,53.2,-6.8,36.9,,,92.7,99.5,53.7,0.5
20,"Jaaskelainen, Jussi","Davies, Kevin",10,1,29,Complete,1st,30,6.2,355.233833,-7.2,54.7,57.6,,,67.3,12.6,36.9,44.1
22,"Davies, Kevin",Incomplete pass,11,1,33,Incomplete,1st,30,0.1,5.729577951,0.8,8.2,8.6,,,75.5,67.3,37.7,36.9
24,"Davies, Kevin",Incomplete pass,13,1,37,Incomplete,1st,30,4.8,275.0197417,-6.6,0.3,4.5,,,64.9,64.6,17.1,23.7
26,"Cahill, Gary","Davies, Kevin",15,2,8,Complete,1st,30,0.7,40.10704566,41.9,33.3,45.1,,,77.8,44.5,66.5,24.6
28,"Davies, Kevin",Incomplete pass,16,2,12,Incomplete,1st,30,6.1,349.504255,-1.1,5,5.3,,,82.8,77.8,67,68.1
30,"Muamba, Fabrice",Incomplete pass,17,2,14,Incomplete,1st,30,0.8,45.83662361,15.7,10.3,15.2,,,77.2,66.9,69.3,53.6
30,"Eagles, Chris",Save,19,2,59,Complete,1st,30,0,0,0,0,0,,,77.2,75.9,69.3,66.6
32,"Muamba, Fabrice","Knight, Zat",20,3,5,Complete,1st,30,1.3,74.48451337,7.5,1.4,5.3,,,78.1,76.7,48.6,41.1
34,"Knight, Zat",Incomplete pass,21,3,6,Incomplete,1st,30,5.5,315.1267873,-11.2,7.7,11.1,,,85.8,78.1,37.4,48.6
36,"Milner, James","Dzeko, Edin",29,3,9,Complete,1st,43,5.7,326.5859432,-20.9,19.8,25.2,,,54,34.2,28.2,49.1
