"player","dob","ht","wt","appearances","debut","shirt"
"Aguero, Sergio","1988-06-02",1.72,70,,"2011-08-15",16
"Barry, Gareth","1981-01-23",1.83,78,,"2009-07-21",18
"Dzeko, Edin","1986-03-17",1.93,84,,"2011-01-15",10
"Hart, Joe","1987-04-19",1.96,91,,"2006-10-14",25
"Kolarov, Aleksandar","1985-11-10",1.87,83,,"2010-08-14",13
"Kompany, Vincent","1986-04-10",1.9,85,,"2008-08-24",4
"Lescott, Joleon","1982-08-16",1.88,89,,"2009-08-27",6
"Milner, James","1986-01-04",1.76,70,,"2010-08-23",7
"Richards, Micah","1988-06-24",1.8,82,,"2005-10-22",2
"Silva, David","1986-01-08",1.7,67,,"2010-08-14",21
"Tevez, Carlos","1984-02-05",1.73,75,,"2009-08-15",32
"Toure, Gnegneri Yaya","1983-05-13",1.91,90,,"2010-07-28",42
